AA,Esito,Appello
2020-2021,21,I
2020-2021,31,I
2020-2021,25,I
2020-2021,18,I
2020-2021,24,I
2020-2021,26,I
2020-2021,31,I
2020-2021,26,I
2020-2021,29,I
2020-2021,18,I
2020-2021,20,I
2020-2021,24,I
2020-2021,26,I
2020-2021,20,I
2020-2021,29,I
2020-2021,25,I
2020-2021,18,I
2020-2021,21,I
2020-2021,21,I
2020-2021,26,I
2020-2021,24,I
2020-2021,19,I
2020-2021,24,I
2020-2021,21,I
2020-2021,23,I
2020-2021,31,I
2020-2021,23,I
2020-2021,31,I
2020-2021,22,I
2020-2021,28,I
2020-2021,20,I
2020-2021,24,I
2020-2021,23,I
2020-2021,24,I
2020-2021,26,I
2020-2021,26,I
2020-2021,26,I
2020-2021,25,I
2020-2021,31,I
2020-2021,24,I
2020-2021,26,I
2020-2021,29,I
2020-2021,24,I
2020-2021,23,I
2020-2021,22,I
2020-2021,26,I
2020-2021,31,I
2020-2021,24,I
2020-2021,30,I
2020-2021,22,I
2020-2021,22,I
2020-2021,25,I
2020-2021,22,I
2020-2021,31,I
2020-2021,26,I
2020-2021,30,I
2020-2021,29,I
2020-2021,24,I
2020-2021,22,I
2020-2021,24,I
2020-2021,22,I
2020-2021,25,I
2020-2021,19,I
2020-2021,27,I
2020-2021,23,I
2020-2021,20,I
2020-2021,24,I
2020-2021,22,I
2020-2021,24,I
2020-2021,24,I
2020-2021,23,I
2020-2021,20,I
2020-2021,30,I
2020-2021,26,II
2020-2021,26,II
2020-2021,24,II
2020-2021,23,II
2020-2021,24,II
2020-2021,21,II
2020-2021,19,II
2020-2021,18,II
2020-2021,21,II
2020-2021,24,II
2020-2021,21,II
2020-2021,19,II
2020-2021,23,II
2020-2021,26,II
2020-2021,26,II
2020-2021,24,II
2020-2021,26,II
2020-2021,26,II
2020-2021,22,II
2020-2021,24,II
2020-2021,30,II
2020-2021,27,II
2020-2021,23,II
2020-2021,25,II
2020-2021,28,II
2020-2021,24,II
2020-2021,23,II
2020-2021,25,II
2020-2021,25,III
2020-2021,25,III
2020-2021,23,III
2020-2021,19,III
2020-2021,21,III
2020-2021,23,III
2020-2021,22,III
2020-2021,20,III
2020-2021,25,III
2020-2021,18,III
2020-2021,24,III
2020-2021,21,III
2020-2021,21,III
2020-2021,18,III
2020-2021,20,III
2020-2021,18,III
2020-2021,26,III
2020-2021,21,III
2020-2021,22,III
2021-2022,30,I
2021-2022,24,I
2021-2022,29,I
2021-2022,18,I
2021-2022,27,I
2021-2022,29,I
2021-2022,26,I
2021-2022,28,I
2021-2022,25,I
2021-2022,25,I
2021-2022,30,I
2021-2022,27,I
2021-2022,22,I
2021-2022,23,I
2021-2022,26,I
2021-2022,26,I
2021-2022,20,I
2021-2022,22,I
2021-2022,25,I
2021-2022,25,I
2021-2022,28,I
2021-2022,22,I
2021-2022,20,I
2021-2022,23,I
2021-2022,28,I
2021-2022,29,I
2021-2022,24,I
2021-2022,20,I
2021-2022,23,I
2021-2022,19,I
2021-2022,25,I
2021-2022,19,I
2021-2022,18,I
2021-2022,24,I
2021-2022,22,I
2021-2022,28,I
2021-2022,25,I
2021-2022,26,I
2021-2022,28,I
2021-2022,18,I
2021-2022,22,I
2021-2022,25,I
2021-2022,25,I
2021-2022,29,I
2021-2022,22,I
2021-2022,28,I
2021-2022,24,I
2021-2022,25,I
2021-2022,22,I
2021-2022,27,I
2021-2022,27,I
2021-2022,28,I
2021-2022,25,I
2021-2022,22,I
2021-2022,24,I
2021-2022,26,I
2021-2022,26,I
2021-2022,29,I
2021-2022,28,I
2021-2022,27,I
2021-2022,30,I
2021-2022,26,I
2021-2022,28,I
2021-2022,18,I
2021-2022,23,I
2021-2022,21,I
2021-2022,23,I
2021-2022,26,I
2021-2022,22,I
2021-2022,26,I
2021-2022,30,I
2021-2022,22,I
2021-2022,26,I
2021-2022,23,I
2021-2022,29,I
2021-2022,29,I
2021-2022,20,I
2021-2022,18,I
2021-2022,18,I
2021-2022,18,II
2021-2022,30,II
2021-2022,23,II
2021-2022,24,II
2021-2022,25,II
2021-2022,27,II
2021-2022,18,II
2021-2022,23,II
2021-2022,20,II
2021-2022,19,II
2021-2022,19,II
2021-2022,26,II
2021-2022,20,II
2021-2022,25,II
2021-2022,25,II
2021-2022,24,II
2021-2022,18,II
2021-2022,18,II
2021-2022,18,II
2021-2022,28,II
2021-2022,24,III
2021-2022,22,III
2021-2022,23,III
2021-2022,18,III
2021-2022,18,III
2021-2022,26,III
2021-2022,18,III
2021-2022,20,III
2021-2022,25,III
2021-2022,22,III
2021-2022,18,III
2021-2022,20,III
2021-2022,22,III
2021-2022,23,III
2021-2022,25,III
2021-2022,24,III
2021-2022,18,III
2021-2022,23,III
2021-2022,23,III
2021-2022,24,III
2021-2022,18,III
2021-2022,18,III
2021-2022,21,III
2021-2022,20,III
2021-2022,19,III
2021-2022,21,III
2022-2023,21,I
2022-2023,20,I
2022-2023,21,I
2022-2023,25,I
2022-2023,27,I
2022-2023,26,I
2022-2023,25,I
2022-2023,21,I
2022-2023,25,I
2022-2023,26,I
2022-2023,31,I
2022-2023,27,I
2022-2023,31,I
2022-2023,26,I
2022-2023,22,I
2022-2023,22,I
2022-2023,28,I
2022-2023,26,I
2022-2023,23,I
2022-2023,19,I
2022-2023,20,I
2022-2023,26,I
2022-2023,31,I
2022-2023,23,I
2022-2023,21,I
2022-2023,19,I
2022-2023,25,I
2022-2023,21,I
2022-2023,24,I
2022-2023,26,I
2022-2023,26,I
2022-2023,23,I
2022-2023,19,I
2022-2023,22,I
2022-2023,20,I
2022-2023,29,I
2022-2023,22,I
2022-2023,31,I
2022-2023,25,I
2022-2023,26,I
2022-2023,23,I
2022-2023,18,I
2022-2023,23,I
2022-2023,22,I
2022-2023,25,I
2022-2023,28,I
2022-2023,21,I
2022-2023,24,I
2022-2023,24,I
2022-2023,25,I
2022-2023,28,I
2022-2023,18,I
2022-2023,22,I
2022-2023,24,I
2022-2023,19,I
2022-2023,24,I
2022-2023,26,I
2022-2023,22,I
2022-2023,25,I
2022-2023,24,I
2022-2023,31,I
2022-2023,31,I
2022-2023,24,I
2022-2023,27,I
2022-2023,25,I
2022-2023,26,I
2022-2023,28,I
2022-2023,23,I
2022-2023,25,I
2022-2023,23,I
2022-2023,21,I
2022-2023,22,I
2022-2023,25,I
2022-2023,29,I
2022-2023,25,I
2022-2023,26,I
2023-2024,18,I
2023-2024,21,I
2023-2024,22,I
2023-2024,31,I
2023-2024,26,I
2023-2024,24,I
2023-2024,31,I
2023-2024,18,I
2023-2024,18,I
2023-2024,21,I
2023-2024,22,I
2023-2024,31,I
2023-2024,26,I
2023-2024,24,I
2023-2024,31,I
2023-2024,18,I
2023-2024,30,I
2023-2024,21,I
2023-2024,26,I
2023-2024,22,I
2023-2024,19,I
2023-2024,24,I
2023-2024,20,I
2023-2024,22,I
2023-2024,27,I
2023-2024,20,I
2023-2024,18,I
2023-2024,27,I
2023-2024,20,I
2023-2024,31,I
2023-2024,28,I
2023-2024,25,I
2023-2024,18,I
2023-2024,27,I
2023-2024,25,I
2023-2024,18,I
2023-2024,27,I
2023-2024,26,I
2023-2024,25,I
2023-2024,31,I
2023-2024,27,I
2023-2024,23,I
2023-2024,20,I
2023-2024,31,I
2023-2024,21,I
2023-2024,22,I
2023-2024,18,I
2023-2024,19,I
2023-2024,24,I
2023-2024,23,I
2023-2024,23,I
2023-2024,29,I
2023-2024,18,I
2023-2024,23,I
2023-2024,21,I
2023-2024,24,I
2023-2024,25,I
2023-2024,30,I
2023-2024,24,I
2023-2024,31,I
2023-2024,30,I
2023-2024,31,I
2023-2024,26,I
2023-2024,24,I
2023-2024,21,I
2023-2024,26,I
2023-2024,29,I
2023-2024,31,I
2023-2024,22,I
2023-2024,18,I
2023-2024,24,I
2023-2024,23,I
2022-2023,23,II
2022-2023,18,II
2022-2023,27,II
2022-2023,26,II
2022-2023,18,II
2022-2023,25,II
2022-2023,18,II
2022-2023,24,II
2022-2023,28,II
2022-2023,25,II
2022-2023,24,II
2022-2023,26,II
2022-2023,24,II
2022-2023,28,III
2022-2023,21,III
2022-2023,24,III
2022-2023,20,III
2022-2023,24,III
2022-2023,25,III
2022-2023,24,III
2022-2023,21,III
2022-2023,18,III
2022-2023,22,III
2022-2023,30,III
2022-2023,24,III
2022-2023,22,III
2022-2023,20,III
2022-2023,21,III
2022-2023,22,III
2022-2023,24,III
2022-2023,23,III
2022-2023,26,III
2022-2023,22,III
2022-2023,22,III
2022-2023,18,III
2023-2024,18,III
2023-2024,27,III
2023-2024,18,III
2023-2024,18,III
2023-2024,20,III
2023-2024,24,III
2023-2024,19,III
2023-2024,29,III
2023-2024,18,III
2023-2024,18,III
2023-2024,20,III
2023-2024,27,III
2023-2024,30,III
2023-2024,21,II
2023-2024,18,II
2023-2024,23,II
2023-2024,31,II
2023-2024,19,II
2023-2024,31,II
2023-2024,19,II
2023-2024,24,II
2023-2024,18,II
2023-2024,27,II
2023-2024,23,II
2023-2024,22,II
2023-2024,26,II
2023-2024,18,II
